ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.050368365,0.06811159,0.00905615,0.00803849,0.35027847,0.10625016,0.0018416825,0.44358212,0.016613787,0.08173394,0.0062244474,0.009311429,0.025010739,0.0114201205,0.013174113,0.03763998,0.000477389,0.6641642,0.010708554,0.0014699257,0.008947489,0.13616584,0.008292665,0.018771837
4,0.04628889,0.01417102,0.02971373,0.24077758,0.33281338,0.24381244,0.1070314,0.7616491,0.009912771,0.0100894915,0.002812467,0.030237203,0.04962533,0.035973128,0.017353924,0.026004424,0.00237672,0.051857408,0.025324348,0.029400263,0.013460434,0.12054756,0.015559132,0.018067086
5,0.010984839,0.008547522,0.0017188959,0.018655613,0.073327646,0.861965,0.009696171,0.66699564,0.0092078475,0.00792779,0.043968663,0.006082496,0.06473321,0.0037956291,0.0008167432,0.27236915,0.0006878633,0.1323988,0.03456565,0.0013541476,0.01297372,0.29545936,0.0075370967,0.0017627749
6,0.040487345,0.071290344,0.0025905222,0.027913185,0.05354267,0.047440417,0.0022758252,0.8171229,0.01261906,0.0049337326,0.029810395,0.004913384,0.12448249,0.0042936066,0.00922363,0.04816793,0.000477389,0.02260031,0.08798512,0.00068908435,0.005297104,0.329394,0.018843759,0.0047678472
7,0.11282598,0.058783837,0.015716022,0.031279348,0.27192318,0.023931451,0.0022691954,0.12795971,0.040374473,0.19518325,0.00998169,0.01228225,0.83318853,0.009090357,0.011223613,0.05700186,0.000477389,0.066644385,0.83206755,0.0016040464,0.0024524843,0.15062444,0.0023425962,0.0060171355
9,0.09707846,0.10553252,0.012671951,0.21974258,0.3465609,0.077299766,0.006150051,0.8156015,0.0821184,0.09102928,0.016781399,0.042155247,0.15166049,0.017342811,0.0100219175,0.021294303,0.000477389,0.18362351,0.04603071,0.019104721,0.033923637,0.04845883,0.017740337,0.013289078
11,0.24030077,0.09170116,0.055159956,0.06187816,0.10441952,0.07005761,0.9582393,0.15701702,0.087853126,0.031212011,0.0013952013,0.06356806,0.008499895,0.4614803,0.12096632,0.01656669,0.00056362484,0.106675915,0.027790345,0.008538524,0.007111944,0.038589988,0.0033755775,0.012188259
13,0.11428326,0.01847205,0.015078277,0.011956664,0.7537189,0.635244,0.0012897667,0.556338,0.025079673,0.06837967,0.019052023,0.014408822,0.0155500695,0.0058836197,0.0051652556,0.044379987,0.000477389,0.09146215,0.009312308,0.0071736076,0.0050636893,0.46958277,0.0032216604,0.0032310346
16,0.021247635,0.02419849,0.010339837,0.01602402,0.42175356,0.045190413,0.031238578,0.6502497,0.025580775,0.04977541,0.004498905,0.015607712,0.06754543,0.017457241,0.047402397,0.06740601,0.000477389,0.58393884,0.017282074,0.0063622408,0.008165813,0.13976054,0.017879115,0.010943142
21,0.053584408,0.10035243,0.013225186,0.009799397,0.7833032,0.04284031,0.010203582,0.4606225,0.045953203,0.029611576,0.0034102823,0.013213126,0.018369569,0.0251259,0.015946321,0.013086658,0.000477389,0.24772182,0.0136584025,0.004163547,0.011442046,0.05031435,0.0129410075,0.0057595666
22,0.021019805,0.09648417,0.024032563,0.0049285777,0.41925004,0.008405268,0.0057866843,0.36232227,0.13356325,0.46910506,0.0061695795,0.009329486,0.6612496,0.005957614,0.010423167,0.030621776,0.000477389,0.26400667,0.06672132,0.006375011,0.0025799985,0.04685344,0.0075646266,0.001791924
24,0.1849735,0.0061097867,0.0049278573,0.010423177,0.25763434,0.6330481,0.0008419075,0.6528713,0.015849467,0.026593754,0.058873016,0.003664605,0.1973575,0.009817764,0.037392937,0.32286447,0.000477389,0.36293536,0.022385245,0.0017042955,0.0022693304,0.749795,0.002051211,0.005518418
25,0.15831189,0.07858959,0.008401235,0.01370691,0.29022855,0.09799721,0.0032871612,0.73184127,0.0627632,0.025193382,0.0028620306,0.010544453,0.0210646,0.009474273,0.020175245,0.03221351,0.000477389,0.08088778,0.027573172,0.002426075,0.009305075,0.10685899,0.0053271772,0.7604629
32,0.017334875,0.031052167,0.014929662,0.003873363,0.67098767,0.043952107,0.0007101338,0.6435431,0.050236985,0.1072748,0.019390382,0.006037553,0.017856373,0.022559116,0.0675649,0.034070786,0.000477389,0.5888071,0.012466526,0.018050965,0.011303454,0.08565224,0.011638198,0.0056803697
38,0.015071695,0.011302452,0.0071839257,0.006804099,0.5209821,0.054771256,0.0056062844,0.7501674,0.021975007,0.018151004,0.0020844263,0.012023381,0.021365434,0.014903591,0.014435182,0.015914626,0.000477389,0.5912616,0.007089561,0.0040203775,0.004806702,0.15909554,0.006140943,0.007197648
40,0.15477541,0.02944397,0.009927481,0.03555329,0.528485,0.7105168,0.008469864,0.64238405,0.037658036,0.026218168,0.02016585,0.04148902,0.034214966,0.02395749,0.030031152,0.05692331,0.000477389,0.119525164,0.023381308,0.004764301,0.015167039,0.29170215,0.06919361,0.009268855
54,0.078342915,0.14533116,0.07995532,0.007875056,0.8633154,0.055401027,0.0019486794,0.07044888,0.18598217,0.11312998,0.0061190072,0.0053348816,0.20326202,0.16592173,0.101234,0.04776128,0.000477389,0.21308753,0.05925965,0.0020553598,0.017289406,0.06515095,0.011215133,0.015887847
55,0.036902778,0.14375041,0.01693124,0.01346666,0.08636724,0.025046896,0.0037861932,0.48032835,0.037022978,0.10069254,0.012754677,0.010483584,0.4124224,0.01379048,0.007327005,0.122079715,0.000477389,0.28224352,0.009798614,0.002888066,0.004018539,0.31764385,0.016902803,0.0021211486
60,0.05721588,0.32977924,0.0637372,0.0054752924,0.7639685,0.024924882,0.0017420175,0.17198522,0.3062687,0.24361326,0.0045743547,0.006599121,0.12731877,0.012358004,0.008844701,0.058531553,0.000477389,0.087066956,0.045347255,0.0046005165,0.00514602,0.11001538,0.0020364241,0.012529796
64,0.0012365469,0.0048008845,0.0026938284,0.0018276272,0.7656982,0.006327162,0.0043341843,0.7164209,0.008099122,0.0067539657,0.040073004,0.007181933,0.036980364,0.002979249,0.015387231,0.062376816,0.000477389,0.7519317,0.0057194303,0.0008092915,0.0016146993,0.0124952225,0.0032644954,0.001899145
72,0.012159828,0.029808968,0.009321886,0.04723895,0.17214063,0.048371933,0.6898561,0.57243127,0.013204878,0.0321814,0.006165038,0.022686537,0.03979762,0.01907025,0.007464299,0.0117404,0.000477389,0.13409676,0.012963539,0.006465637,0.055249777,0.03901607,0.0079660565,0.00906093
74,0.010010248,0.008921134,0.010207975,0.0029858227,0.5701656,0.025735283,0.0011765648,0.49514183,0.008751541,0.010633672,0.005799595,0.0023946168,0.026894042,0.043312896,0.049516562,0.08809414,0.00056362484,0.59601337,0.012210703,0.0055526444,0.0034106907,0.075869896,0.002497722,0.0019011426
77,0.18410757,0.044612158,0.0121851815,0.07304141,0.25422516,0.47749266,0.037237763,0.54489744,0.06553236,0.04055659,0.0061878418,0.028747749,0.11443333,0.011999355,0.011772466,0.072613165,0.0007050648,0.053923633,0.11245902,0.015488269,0.036125395,0.37581053,0.022625355,0.006546949
78,0.017099794,0.022729605,0.0058536055,0.009946307,0.41478333,0.07907113,0.0010523229,0.7290383,0.040763512,0.07234558,0.0046532634,0.0023428793,0.00478777,0.001548944,0.0019787985,0.04420576,0.000477389,0.239055,0.008437864,0.00070239493,0.002022445,0.05528761,0.00067128293,0.00089198304
89,0.06271245,0.35484403,0.018606527,0.009744775,0.07424908,0.04423565,0.0033523634,0.87817043,0.047147673,0.13169679,0.054727085,0.06045182,0.003528017,0.0031462829,0.103758335,0.0039846026,0.000477389,0.8159928,0.01064125,0.0011345731,0.011852478,0.08328095,0.041294258,0.01359336
94,0.012623142,0.022710893,0.0033388264,0.02312967,0.22742802,0.013620023,0.0044811782,0.8395284,0.0031309088,0.048405968,0.011713945,0.012520768,0.019557934,0.0059317383,0.03329562,0.08697433,0.000477389,0.93454576,0.02958763,0.010136132,0.0040606484,0.055584922,0.012276657,0.0067871055
